PACKAGE	TYPE	REPO	DEFAULT STATUS

#	CORE PACKAGES
linux-kernel	KERNEL	0.CORE	INSTALLED
linux-firmware	DRIVERS	0.CORE	INSTALLED
systemd	SYSTEM-MANAGMENT	0.CORE	INSTALLED
systemd-bootd	BOOTLOADER	0.CORE	SELECTIVELY INSTALLED
GRUB2	BOOTLOADER	0.CORE	SELECTIVELY INSTALLED
u-boot	BOOTLOADER	0.CORE	SELECTIVELY INSTALLED
isolinux	BOOTLOADER	0.CORE	SELECTIVELY INSTALLED
bsdutils	USERLAND	0.CORE	INSTALLED
openzfs-tools	FILESYSTEM	0.CORE	INSTALLED
openzfs-dkms	FILESYSTEM	0.CORE	INSTALLED
ltfs	FILESYSTEM	0.CORE	INSTALLED
open-iscsi	FILESYSTEM	0.CORE	INSTALLED
samba	FILESYSTEM	0.CORE	INSTALLED
nfs-client	FILESYSTEM	0.CORE	INSTALLED
lvm2	FILESYSTEM	0.CORE	INSTALLED
dmraid	FILESYSTEM	0.CORE	INSTALLED
dmcrypt	FILESYSTEM	0.CORE	INSTALLED
onionfs	FILESYSTEM	0.CORE	INSTALLED
squashfs	FILESYSTEM	0.CORE	INSTALLED
fish	SHELL	0.CORE	INSTALLED
bash	SHELL	0.CORE	INSTALLED
tmux	TERMINAL MULTIPLEXER	0.CORE	INSTALLED
ncurses	LIBRARY: UI	0.CORE	INSTALLED
dialog	LIBRARY: UI	0.CORE	INSTALLED
openssh	REMOTE ACCESS	0.CORE	INSTALLED
openssh-server	REMOTE ACCESS	0.CORE	INSTALLED
openssh-keygen	LIBRARY: CRYPTOGRAPHY	0.CORE	INSTALLED
gnupg	TOOL: CRYPTOGRAPHY	0.CORE	INSTALLED
btop	TOOL: SYSTEM METRICS	0.CORE	INSTALLED
lynx	BROWSER	0.CORE	INSTALLED
mutt	COMMUNICATION: EMAIL-CLIENT	0.CORE	INSTALLED
weechat	COMMUNICATION: CHAT-CLIENT	0.CORE	INSTALLED
profanity	COMMUNICATION: CHAT-CLIENT	0.CORE	INSTALLED
zulip-terminal-client	COMMUNICATION: CHAT-CLIENT	0.CORE	INSTALLED
curl	TOOL: HTTP-UPLOAD	0.CORE	INSTALLED
duplicity	TOOL: BACKUP	0.CORE	INSTALLED
borg	TOOL: BACKUP	0.CORE	INSTALLED
rdiff-backup	TOOL:BACKUP	0.CORE	INSTALLED
pax	TOOL: ARCHIVAL	0.CORE	INSTALLED
tar	TOOL: ARCHIVAL	0.CORE	INSTALLED
bzip2	TOOL: ARCHIVAL	0.CORE	INSTALLED
wsend	TOOL: DATA TRANSMISSION	0.CORE	INSTALLED
ntfy-cli	TOOL: SCRIPTING	0.CORE	INSTALLED

#	DISTRIBUTION-SPECIFIC TOOLS
* os1337-systemcfg	TUI SYSTEM CONFIG	0.CORE	INSTALLED
* os1337-menu	TUI START MENU	0.CORE	INSTALLED
* os1337-nav	TUI CONFIGURATION	0.CORE	INSTALLED
* flushcache	RAM clearing	0.CORE	INSTALLED
* ramdisk-manager	RAMDISK MANAGER	0.CORE	INSTALLED

#	OPTIONAL PACKAGES
zsh	SHELL	USER	NOT INSTALLED
clang	COMPILER	OPTIONAL	NOT INSTALLED
fuse	API: FILESYSTEMS	OPTIONAL	NOT INSTALLED
ntfs-3g	FILESYSTEM	OPTIONAL	NOT INSTALLED
sshfs	FILESYSTEM	OPTIONAL	NOT INSTALLED
ipfs	FILESYSTEM	OPTIONAL	NOT INSTALLED
veracrypt-console	FOLESYSTEM	OPTIONAL	NOT INSTALLED
openjdk	RUNTIME	OPTIONAL	NOT INSTALLED
* ntfy	SERVER	OPTIONAL	NOT INSTALLED
* oshi	SERVER	OPTIONAL	NOT INSTALLED